pdf_name,section,field,value,pages
2008_MATABANE_FE3.pdf,metadata,title,"THE GEOLOGY OF THE FE3 OPEN-CAST, SADIOLA, MALI: STRATIGRAPHY, STRUCTURE AND INTRUSIVE ROCKS",1
2008_MATABANE_FE3.pdf,metadata,author,Moshala Matabane,1
2008_MATABANE_FE3.pdf,metadata,year,2008,"1, 2"
2008_MATABANE_FE3.pdf,metadata,supervisor,Prof. Kim A.A. Hein,1
2008_MATABANE_FE3.pdf,metadata,institution,"University of the Witwatersrand, Johannesburg",1
2008_MATABANE_FE3.pdf,metadata,location,Johannesburg,"1, 2"
2008_MATABANE_FE3.pdf,geology,region,"Sadiola, Mali",1
2008_MATABANE_FE3.pdf,geochronology,age_Ma,0,"1, 11, 14, 15, 16, 17, 18, 19, 2, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 3, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 4, 42, 43, 44, 5, 6, 7, 8, 9"
2008_MATABANE_FE3.pdf,geochronology,error_Ma,0,"1, 11, 13, 14, 15, 16, 17, 18, 19, 2, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 3, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 4, 40, 41, 42, 43, 44, 5, 6, 7, 8, 9"
2008_MATABANE_FE3.pdf,geochemistry,value,0,"1, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 2, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 3, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 4, 40, 41, 42, 43, 44, 5, 6, 7, 8, 9"
2008_MATABANE_FE3.pdf,metadata,institution,University of the Witwatersrand,2
2008_MATABANE_FE3.pdf,metadata,year,0,"10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 3, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 4, 40, 41, 42, 43, 44, 5, 6, 7, 8, 9"
2008_MATABANE_FE3.pdf,metadata,supervisor,Prof. Kim Hein,3
2008_MATABANE_FE3.pdf,metadata,location,"Sadiola goldfield, Mali",4
2008_MATABANE_FE3.pdf,geology,region,"Sadiola goldfield, Mali","4, 7"
2008_MATABANE_FE3.pdf,geology,rock_types,meta-sedimentary rocks,4
2008_MATABANE_FE3.pdf,geology,rock_types,granodiorite,"20, 22, 23, 24, 29, 30, 4, 40, 41, 44"
2008_MATABANE_FE3.pdf,geology,minerals,gold,"11, 13, 14, 20, 24, 4, 40, 41, 44"
2008_MATABANE_FE3.pdf,geology,minerals,chlorite,"21, 4"
2008_MATABANE_FE3.pdf,geology,minerals,sericite,"21, 22, 23, 30, 4"
2008_MATABANE_FE3.pdf,geology,minerals,arsenopyrite,"14, 20, 23, 24, 4, 40, 44"
2008_MATABANE_FE3.pdf,geology,structures,slump folds,"20, 21, 25, 26, 28, 4, 44"
2008_MATABANE_FE3.pdf,geology,structures,olistoliths,"28, 38, 4, 44"
2008_MATABANE_FE3.pdf,geology,structures,turbidite beds,"21, 28, 4"
2008_MATABANE_FE3.pdf,geology,structures,fluid escape structures,"27, 38, 4, 44"
2008_MATABANE_FE3.pdf,geology,tectonic_setting,seismically-active turbulent environment,4
2008_MATABANE_FE3.pdf,metallogeny,mineralisation_type,primary hydrothermal and secondary placer,"4, 44"
2008_MATABANE_FE3.pdf,metallogeny,associated_structures,breccia zones,"24, 4"
2008_MATABANE_FE3.pdf,metallogeny,associated_structures,quartz-arsenopyrite veins,"4, 40"
2008_MATABANE_FE3.pdf,metallogeny,host_rocks,lower slump facies,4
2008_MATABANE_FE3.pdf,metallogeny,host_rocks,upper slump facies,"20, 4, 44"
2008_MATABANE_FE3.pdf,metallogeny,host_rocks,siltstone-greywacke unit,4
2008_MATABANE_FE3.pdf,metallogeny,ore_minerals,gold,"11, 13, 14, 23, 24, 4, 40, 41, 44"
2008_MATABANE_FE3.pdf,metallogeny,alteration,hydrothermal chlorite-sericite alteration,4
2008_MATABANE_FE3.pdf,geology,region,Mali,8
2008_MATABANE_FE3.pdf,geology,structures,facies successions,8
2008_MATABANE_FE3.pdf,geology,structures,intrusive bodies,8
2008_MATABANE_FE3.pdf,metallogeny,mineralisation_type,gold,"22, 8"
2008_MATABANE_FE3.pdf,metadata,location,Mali,10
2008_MATABANE_FE3.pdf,geology,region,Kéniéba Inlier,"10, 11, 12, 17, 41"
2008_MATABANE_FE3.pdf,geology,rock_types,tholeiitic basalts,"10, 40"
2008_MATABANE_FE3.pdf,geology,rock_types,andesites,10
2008_MATABANE_FE3.pdf,geology,rock_types,granitoids,"10, 12"
2008_MATABANE_FE3.pdf,geology,rock_types,volcanic sequences,10
2008_MATABANE_FE3.pdf,geology,rock_types,sedimentary sequences,10
2008_MATABANE_FE3.pdf,geology,rock_types,amphibolite,"10, 11"
2008_MATABANE_FE3.pdf,geology,rock_types,gneiss,10
2008_MATABANE_FE3.pdf,geology,structures,Senegalo-Malian graben,10
2008_MATABANE_FE3.pdf,geology,structures,Senegalo-Mali Shear Zone,"10, 11"
2008_MATABANE_FE3.pdf,geology,tectonic_setting,Eburnean Orogeny,"10, 12, 14, 41"
2008_MATABANE_FE3.pdf,geochronology,method,Pb-Pb age,10
2008_MATABANE_FE3.pdf,geochronology,age_Ma,2194,10
2008_MATABANE_FE3.pdf,geochronology,error_Ma,6,10
2008_MATABANE_FE3.pdf,geochronology,rock_unit,SAG basement,10
2008_MATABANE_FE3.pdf,geology,formation,Mako Supergroup,11
2008_MATABANE_FE3.pdf,geology,rock_types,tholeiitic pillowed basalt,11
2008_MATABANE_FE3.pdf,geology,rock_types,calc-alkaline andesite,11
2008_MATABANE_FE3.pdf,geology,rock_types,immature metasedimentary rocks,11
2008_MATABANE_FE3.pdf,geology,rock_types,meta-volcaniclastic rocks,11
2008_MATABANE_FE3.pdf,geology,rock_types,diorite,"11, 12"
2008_MATABANE_FE3.pdf,geology,rock_types,tonalite,"11, 12"
2008_MATABANE_FE3.pdf,geology,rock_types,carbonate,"11, 21"
2008_MATABANE_FE3.pdf,geology,rock_types,volcaniclastic,11
2008_MATABANE_FE3.pdf,geology,rock_types,siliciclastic,11
2008_MATABANE_FE3.pdf,geology,rock_types,turbiditic units,11
