pdf_name,section,field,value,pages
2011_Peters_East Markoye_2011.pdf,metadata,title,"THE GEOLOGY OF THE EAST MARKOYE REGION IN THE OUDALAN-GOUROUOL GREENSTONE BELT, NORTH-EAST BURKINA FASO.",1
2011_Peters_East Markoye_2011.pdf,metadata,author,Luke Peters,1
2011_Peters_East Markoye_2011.pdf,metadata,year,0,"1, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 2, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 3, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 4, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 5, 50, 51, 52, 54, 55, 56, 59, 6, 60, 61, 62, 7, 8, 9"
2011_Peters_East Markoye_2011.pdf,metadata,supervisor,Prof. Kim Ncube-Hein,1
2011_Peters_East Markoye_2011.pdf,metadata,location,North-East Burkina Faso,1
2011_Peters_East Markoye_2011.pdf,geology,region,East Markoye Region,1
2011_Peters_East Markoye_2011.pdf,geology,formation,Oudalan-Gourouol Greenstone Belt,1
2011_Peters_East Markoye_2011.pdf,geochronology,age_Ma,0,"1, 12, 13, 14, 15, 16, 17, 18, 19, 2, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 3, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 4, 40, 41, 42, 43, 44, 46, 47, 48, 49, 5, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 6, 60, 61, 62, 7, 8, 9"
2011_Peters_East Markoye_2011.pdf,geochronology,error_Ma,0,"1, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 2, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 3, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 4, 40, 41, 42, 43, 44, 46, 47, 48, 49, 5, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 6, 60, 61, 62, 7, 8, 9"
2011_Peters_East Markoye_2011.pdf,geochemistry,value,0,"1, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 3, 30, 31, 32, 34, 35, 36, 37, 38, 39, 4, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 5, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 6, 60, 62, 7, 8, 9"
2011_Peters_East Markoye_2011.pdf,geology,region,Oudalan-Gourouol Greenstone Belt,"2, 5"
2011_Peters_East Markoye_2011.pdf,geology,rock_types,greywacke,"10, 11, 2, 21, 22, 29, 30, 37, 38, 40, 41, 42, 43, 44, 47, 5, 51, 9"
2011_Peters_East Markoye_2011.pdf,geology,rock_types,granodiorite,"11, 14, 2, 27, 28, 32, 33, 38, 41, 44"
2011_Peters_East Markoye_2011.pdf,geology,rock_types,monzodiorite,"2, 27, 32, 44, 50"
