category,entity,attribute,value,unit,value_min,value_max,error,error_unit,method,mineral_phase,sample_id,context_snippet,page,block_id,confidence,provenance_id,pdf_page_hint,section_title,local_citations,provenance_note
geochronology,,age,2158.0,Ma,,,,,,,,"2158 Ma gold at Wassa, Parra-Avila, in press; 2105 ± 2 Ma gold at Ashanti, Oberthür et",19,19-18,0.9,19:19-18,#page=19,Chapter I. Introduction,,"thesis page 19, block 19-18"
geochronology,,age,2105.0,Ma,,,2.0,Ma,,,,"2158 Ma gold at Wassa, Parra-Avila, in press; 2105 ± 2 Ma gold at Ashanti, Oberthür et",19,19-18,0.9,19:19-18,#page=19,Chapter I. Introduction,,"thesis page 19, block 19-18"
geochronology,,age,2063.0,Ma,,,9.0,Ma,,,,"2063 ± 9 Ma gold at Damang, Pigois et al., 2003). Nevertheless, the vast",19,19-19,0.9,19:19-19,#page=19,Chapter I. Introduction,,"thesis page 19, block 19-19"
geochronology,,age,2074.0,Ma,,,9.0,Ma,,,,"Mamakono granodiorites, respectively dated at 2074 ± 9 Ma and 2076 ± 3 Ma (Bassot",42,42-21,0.9,42:42-21,#page=42,unconformably overlain by flat-lying Neoprot erozoic sandstones of the Taoudeni,Villeneuve 2008; Bessoles 1977; Bassot 1997,"thesis page 42, block 42-21"
geochronology,,age,2197.0,Ma,,,13.0,Ma,,,,"2197 ± 13 Ma (Dia, 1988; Sm-Nd on whole rock  basalt). The Mako crustal rocks are",42,42-19,0.9,42:42-19,#page=42,unconformably overlain by flat-lying Neoprot erozoic sandstones of the Taoudeni,Villeneuve 2008; Bessoles 1977; Bassot 1997,"thesis page 42, block 42-19"
geochronology,,age,2132.0,,,,9.0,Ma,,,,207Pb/206Pb date of 2132 ± 9 Ma. Thirteen zirc on analyses defined a second population,220,220-9,0.9,220:220-9,#page=220,A biotite-monzogranite sample was collect ed from outcrop 4 km northwest of the,,"thesis page 220, block 220-9"
geochronology,,age,2105.0,,,,2.0,Ma,,,,"Ashanti belt, however, is constrained to  2105 ± 2 Ma (Oberthür et al., 1998). By",234,234-19,0.9,234:234-19,#page=234,geological development,Kouamelan 1996,"thesis page 234, block 234-19"
geochronology,,age,2076.0,Ma,,,3.0,Ma,,,,"Mamakono granodiorites, respectively dated at 2074 ± 9 Ma and 2076 ± 3 Ma (Bassot",42,42-21,0.9,42:42-21,#page=42,unconformably overlain by flat-lying Neoprot erozoic sandstones of the Taoudeni,Villeneuve 2008; Bessoles 1977; Bassot 1997,"thesis page 42, block 42-21"
geochronology,,age,2165.0,Ma,,,1.0,Ma,,,,"uniform age of 2165 ± 1 Ma (Hirdes and Da vis, 2002; Pb-Pb zircon) for the source",42,42-33,0.9,42:42-33,#page=42,unconformably overlain by flat-lying Neoprot erozoic sandstones of the Taoudeni,Villeneuve 2008; Bessoles 1977; Bassot 1997,"thesis page 42, block 42-33"
geochronology,,age,2079.0,Ma,,,2.0,Ma,,,,"Saraya granite, which has been dated at 2079 ± 2 Ma (Hirdes and Davis, 2002; U-Pb",42,42-36,0.9,42:42-36,#page=42,unconformably overlain by flat-lying Neoprot erozoic sandstones of the Taoudeni,Villeneuve 2008; Bessoles 1977; Bassot 1997,"thesis page 42, block 42-36"
geochronology,,age,2045.0,Ma,,,27.0,Ma,,,,leucogranite that intruded the Kofi sediment s has been dated at 2045 ± 27 Ma (Bassot,43,43-13,0.9,43:43-13,#page=43,,Lawrence et al. 2013a,"thesis page 43, block 43-13"
geochronology,,age,2080.0,Ma,,,1.0,Ma,,,,"granodiorite dated at 2080 ± 1 Ma (Hirdes a nd Davis, 2002; Pb-Pb zircon). The plutons",43,43-6,0.9,43:43-6,#page=43,,Lawrence et al. 2013a,"thesis page 43, block 43-6"
geochronology,,age,2082.0,Ma,,,1.0,Ma,,,,such as the Boto tonal ite dated at 2082 ± 1 Ma and the Boboti,43,43-5,0.9,43:43-5,#page=43,,Lawrence et al. 2013a,"thesis page 43, block 43-5"
assay,,grade,2.86,g/t,,,,,,,,"grade of 2.86 g/t Au, representing approxima tely 4.5 Moz (141 t) of contained gold to",44,44-14,0.9,44:44-14,#page=44,4. Mining background,Boshoff et al. 1998,"thesis page 44, block 44-14"
assay,,grade,1.78,g/t,,,,,,,,and probable reserves of 3.853 Moz at 1.78  g/t (AngloGold Ashanti Ltd. 2012 mineral,44,44-19,0.9,44:44-19,#page=44,4. Mining background,Boshoff et al. 1998,"thesis page 44, block 44-19"
geochemistry,,antimony,1368.0,ppm,,,,,,,,concentrations in antimony (i.e. mean of 1368 ppm) reflect an early saturation of the,74,74-37,0.9,74:74-37,#page=74,associated with the formation of  WNW-trending sub-vertical br ittle cross-faults that offset,Thorne et al. 2008,"thesis page 74, block 74-37"
tectonism_event,,age,,Ma,2103.0,2094.0,14.0,Ma,,,,"sequence is constrained to 2103 ± 14 - 2094 ± 4 Ma (Amstrong, 2003; McFarlane et al.,",71,71-25,0.9,71:71-25,#page=71,7. Discussion,,"thesis page 71, block 71-25"
geochemistry,,antimony,1368.0,ppm,,,,,,,,"mean of 1368 ppm, with variations reflected  by patchy compositional zoning on a scale",66,66-36,0.9,66:66-36,#page=66,Ore minerals are texturally associated with silicate minerals precipitated during,,"thesis page 66, block 66-36"
geochemistry,,Au,,ppm,0.126,23.7,,,,,,0.126 - 23.7 ppm with a mean of 3.02 ppm. Gold concentration in pyrite is insignificant,66,66-32,0.9,66:66-32,#page=66,Ore minerals are texturally associated with silicate minerals precipitated during,,"thesis page 66, block 66-32"
assay,,Au,,g/t,1.0,3.0,,,,,,mineralization that average 1 to 3 g/t Au.,59,59-8,0.9,59:59-8,#page=59,Brittle textures are best-observed in deep footwall impure limestones within the Sadiola,,"thesis page 59, block 59-8"
assay,,Au,,g/t,10.0,,,,,,,the Sadiola Fracture Zone ar e commonly >10 g/t. Ductile textures are also observed,58,58-27,0.9,58:58-27,#page=58,Mineralization may be associated with sulf ides aligned along the shear fabric in,,"thesis page 58, block 58-27"
geochemistry,,ppm,,ppm,126.0,138.0,,,,,,126 to 138 ppm. The quartz-feldspar-porphyry is metaluminous in character on the basis,116,116-22,0.9,116:116-22,#page=116,Least-altered samples of the Alamout ala quartz-feldspar-porphyry suitable for,Cox et al. 1979,"thesis page 116, block 116-22"
geochemistry,,Fe2O3(total),,wt %,1.67,1.91,,,,,,Fe2O3(total) contents range from 1.67 to 1.91 wt % and igneous magnetite has been,116,116-19,0.9,116:116-19,#page=116,Least-altered samples of the Alamout ala quartz-feldspar-porphyry suitable for,Cox et al. 1979,"thesis page 116, block 116-19"
assay,,Au,1.7,g/t,,,,,,,,"mine life was 308,400 oz Au at an average grade of 1.70 g/t (AngloGold Ashanti 2011",109,109-21,0.9,109:109-21,#page=109,4. Alamoutala exploration and mining history,,"thesis page 109, block 109-21"
